Start Location,"DIGI145"
End Location,"DIGI157"
Project,RL Viz Test
Start Date,8/3/2016 12:00 AM
End Date,12/31/2016 11:59 PM

Trip Distance(mi),25.63
Expected Travel Time(s),1651 (27:31)
Number of Trips,73563
Average Speed(mph),61.3
Average Travel Time(s),1505.5 (25:05)
Standard Deviation,443.5
15th Percentile Travel Time(s),1426 (23:46)
85th Percentile Travel Time(s),1676 (27:56)
95th Percentile Travel Time(s),2380 (39:40)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"8/4/2016 4:45:00 AM",64.7,1426,3
"8/4/2016 5:00:00 AM",64.8,1425,6
"8/4/2016 5:15:00 AM",63.3,1459,6
"8/4/2016 5:30:00 AM*",65.4,1411,9
"8/4/2016 5:45:00 AM",65,1420,9
"8/4/2016 6:00:00 AM",66.2,1395,9
"8/4/2016 6:15:00 AM",66.5,1388,10
"8/4/2016 6:30:00 AM",65.6,1408,17
"8/4/2016 6:45:00 AM",68.2,1353,11
"8/4/2016 7:00:00 AM*",67.1,1375,10
"8/4/2016 7:15:00 AM",64.5,1430,25
"8/4/2016 7:30:00 AM*",65.9,1400,32
"8/4/2016 7:45:00 AM",69.8,1323,27
"8/4/2016 8:00:00 AM",66.8,1381,31
"8/4/2016 8:15:00 AM*",61.9,1490,24
"8/4/2016 8:30:00 AM*",64.6,1428,30
"8/4/2016 8:45:00 AM",64,1443,32
"8/4/2016 9:00:00 AM",62.6,1474,14
"8/4/2016 9:15:00 AM*",62.5,1476,13
"8/4/2016 9:30:00 AM",63.8,1447,15
"8/4/2016 9:45:00 AM",61.5,1501,19
"8/4/2016 10:00:00 AM",58.7,1572,18
"8/4/2016 10:15:00 AM",51.5,1794,22
"8/4/2016 10:30:00 AM",55.5,1664,36
"8/4/2016 10:45:00 AM",52.1,1771,31
"8/4/2016 11:00:00 AM",46.4,1989,22
"8/4/2016 11:15:00 AM",44.2,2087,32
"8/4/2016 11:30:00 AM",44.8,2060,21
"8/4/2016 11:45:00 AM",47.3,1953,26
"8/4/2016 12:00:00 PM",42.9,2150,27
"8/4/2016 12:15:00 PM",50.9,1813,47
"8/4/2016 12:30:00 PM",47.3,1949,46
"8/4/2016 12:45:00 PM",56.5,1633,29
"8/4/2016 1:00:00 PM",65.1,1418,33
"8/4/2016 1:15:00 PM",59.1,1561,30
"8/4/2016 1:30:00 PM",39,2368,31
"8/4/2016 1:45:00 PM",52.3,1765,30
"8/4/2016 2:00:00 PM*",65.2,1416,22
"8/4/2016 2:15:00 PM",64.9,1421,22
"8/4/2016 2:30:00 PM",67.2,1373,30
"8/4/2016 2:45:00 PM",71,1300,40
"8/4/2016 3:00:00 PM*",64.1,1441,28
"8/4/2016 3:15:00 PM*",61.3,1506,32
"8/4/2016 3:30:00 PM*",54.1,1706,33
"8/4/2016 3:45:00 PM",49.3,1871,28
"8/4/2016 4:00:00 PM",49.9,1851,19
"8/4/2016 4:15:00 PM",48.3,1910,26
"8/4/2016 4:30:00 PM*",46.7,1975,24
"8/4/2016 4:45:00 PM",41.8,2207,30
"8/4/2016 5:00:00 PM*",40.3,2287,22
"8/4/2016 5:15:00 PM",38.4,2403,33
"8/4/2016 5:30:00 PM",40.7,2270,36
"8/4/2016 5:45:00 PM*",50.4,1831,16
"8/4/2016 6:00:00 PM",64.3,1435,26
"8/4/2016 6:15:00 PM",64.2,1437,32
"8/4/2016 6:30:00 PM",69.4,1331,16
"8/4/2016 6:45:00 PM*",66.9,1380,16
"8/4/2016 7:00:00 PM",67.6,1366,30
"8/4/2016 7:15:00 PM",64.6,1429,24
"8/4/2016 7:30:00 PM",63.1,1462,26
"8/4/2016 7:45:00 PM",64.7,1427,26
"8/4/2016 8:00:00 PM",66.9,1380,21
"8/4/2016 8:15:00 PM",66.9,1380,21
"8/4/2016 8:30:00 PM*",64.8,1425,22
"8/4/2016 8:45:00 PM*",64.6,1429,20
"8/4/2016 9:00:00 PM",65.6,1406,21
"8/4/2016 9:15:00 PM*",63.1,1464,21
"8/4/2016 9:30:00 PM*",62.6,1473,16
"8/4/2016 9:45:00 PM",67.7,1364,10
"8/4/2016 10:00:00 PM*",63.8,1447,12
"8/4/2016 10:15:00 PM",62,1488,7
"8/4/2016 10:30:00 PM*",58.9,1567,4
"8/4/2016 10:45:00 PM*",63.4,1455,7
"8/4/2016 11:00:00 PM*",60.2,1533,4
"8/4/2016 11:15:00 PM",64.1,1440,13
"8/4/2016 11:30:00 PM",61.7,1496,6
"8/4/2016 11:45:00 PM",65.4,1410,19
"8/5/2016 12:00:00 AM*",67.5,1367,11
"8/5/2016 12:15:00 AM",64.9,1422,7
"8/5/2016 12:30:00 AM*",64.7,1426,7
"8/5/2016 12:45:00 AM",63.5,1453,9
"8/5/2016 1:00:00 AM",65.7,1404,4
"8/5/2016 1:15:00 AM",38.8,2377,6
"8/5/2016 1:30:00 AM*",51.1,1805,3
"8/5/2016 1:45:00 AM*",63.8,1448,5
"8/5/2016 2:00:00 AM",64.3,1436,3
"8/5/2016 2:15:00 AM*",63,1465,2
"8/5/2016 2:30:00 AM*",66.2,1394,2
"8/5/2016 2:45:00 AM",65.8,1403,3
"8/5/2016 3:00:00 AM",64.7,1426,3
"8/5/2016 3:15:00 AM*",62.4,1480,4
"8/5/2016 3:30:00 AM*",60.8,1517,6
"8/5/2016 3:45:00 AM*",59.1,1561,2
"8/5/2016 4:00:00 AM*",57.2,1614,2
"8/5/2016 4:15:00 AM",67.3,1372,6
"8/5/2016 4:30:00 AM*",59.4,1553,4
"8/5/2016 4:45:00 AM*",60.7,1521,4
"8/5/2016 5:00:00 AM",37.2,2478,7
"8/5/2016 5:15:00 AM",68.2,1353,8
"8/5/2016 5:30:00 AM*",65.8,1403,9
"8/5/2016 5:45:00 AM*",63.2,1460,13
"8/5/2016 6:00:00 AM",69.2,1333,16
"8/5/2016 6:15:00 AM",66.8,1382,19
"8/5/2016 6:30:00 AM",64.6,1430,17
"8/5/2016 6:45:00 AM*",65.6,1407,18
"8/5/2016 7:00:00 AM",65.9,1401,13
"8/5/2016 7:15:00 AM",65.2,1416,27
"8/5/2016 7:30:00 AM",65,1419,27
"8/5/2016 7:45:00 AM",67.1,1376,36
"8/5/2016 8:00:00 AM",64.3,1436,25
"8/5/2016 8:15:00 AM",65.2,1415,25
"8/5/2016 8:30:00 AM",64.8,1424,28
"8/5/2016 8:45:00 AM",63.8,1447,27
"8/5/2016 9:00:00 AM*",63.8,1447,23
"8/5/2016 9:15:00 AM",67.2,1374,19
"8/5/2016 9:30:00 AM",66.3,1393,18
"8/5/2016 9:45:00 AM",66.7,1383,28
"8/5/2016 10:00:00 AM",64.5,1432,24
"8/5/2016 10:15:00 AM",64.7,1426,26
"8/5/2016 10:30:00 AM",59.8,1544,25
"8/5/2016 10:45:00 AM*",62.3,1482,24
"8/5/2016 11:00:00 AM",66.8,1381,30
"8/5/2016 11:15:00 AM",63.6,1451,37
"8/5/2016 11:30:00 AM",65,1419,25
"8/5/2016 11:45:00 AM",62,1488,30
"8/5/2016 12:00:00 PM",55.3,1668,31
"8/5/2016 12:15:00 PM*",64.4,1434,33
"8/5/2016 12:30:00 PM",47,1966,24
"8/5/2016 12:45:00 PM",47.9,1928,21
"8/5/2016 1:00:00 PM",46.5,1985,40
"8/5/2016 1:15:00 PM",44.9,2057,27
"8/5/2016 1:30:00 PM",46,2007,32
"8/5/2016 1:45:00 PM",43.3,2133,29
"8/5/2016 2:00:00 PM",39.9,2312,32
"8/5/2016 2:15:00 PM",35.7,2585,29
"8/5/2016 2:30:00 PM",35.5,2601,29
"8/5/2016 2:45:00 PM",36.2,2548,40
"8/5/2016 3:00:00 PM",31.5,2927,26
"8/5/2016 3:15:00 PM",29.3,3152,33
